country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.new.tpt,hiv.new,hiv.all.tpt,hiv.all,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.all.tpt.completed,hiv.all.tpt.started,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Kyrgyzstan,KG,2021,2055,904,942,326,308,61,613,178,3901,4596,1308,5209,2055,707,0,0,1,221,36,,,82,,,,450,504,404,417,419,328,2522,0,32,,,89,,,,395,437,252,197,239,315,1835,0,239,60,2080,,,1,,788,129,70,756,61,116,1,918,1,656,1,146,940,0,,1932,669,500,339,309,132,1570,534,647,341,500,339,402,283,665,116,3,1,0,9,103,0,0,0,0,0,,1,4394,126,77,,,,,0,"В пункте 2.46: Число пациентов с ТБ/ВИЧ ко-инфекцией, находящихся на АРТ терапии в 2021 году [77] не совпадает с количеством случаев, зарегистрированных программой по борьбе с ВИЧ/СПИД [139], т.к. ВИЧ-служба регистрирует всех пациентов, включая случаи активного ТБ и неактивного ТБ (с",139,0,,,73,856,0,,,274,856,562,5044,0,,,624,705,0,,,2022-08-26,0,,,,,,,,,1,,,,226,1,
Cambodia,KH,2021,7551,4999,8855,92,74,18,72,,21405,21589,256,21661,7549,112,2,,,221,916,,,2036,,,,630,1078,1653,1896,2352,2012,9621,,552,,,1521,,,,610,966,983,1076,1569,1739,6943,,5025,,,,,1,,65,7,65,65,0,7,1,61,1,23,1,37,72,1,,,,,,,,,,,,,,,,72,7,,,,,,,,,,1,,1,17286,296,275,,,,,0,,275,0,,,113,3223,0,,,1119,3223,5489,62561,0,,,,,0,Record removed by UNAIDS,,2022-08-26,0,,,,,,,,,0,,,,,,
Kiribati,KI,2021,183,44,91,10,0,2,11,,318,330,23,341,183,21,0,1,1,221,11,,,16,,,,30,24,22,31,29,7,143,0,5,,,14,,,,38,27,19,18,25,14,141,0,46,60,224,,,0,,1,0,0,0,0,0,0,,0,,0,,0,0,A child was diagnosed with Pulmonary TB with laboratory-confirmed rifampicin resistance on the 31/12/21. The child was report and registered in 2022 registry and started treatment later in 2022 hence will be reported for 2022,177,12,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,219,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Comoros,KM,2021,68,21,44,1,0,0,1,,133,134,2,135,68,1,0,0,1,221,7,,,4,,,,11,19,14,9,8,14,75,0,1,,,4,,,,9,9,7,7,2,9,43,0,16,60,90,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,68,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,126,3,2,,,,,0,,2,0,,,2,5,0,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Saint Kitts and Nevis,KN,2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,0,0,0,0,0,0,0,,0,,0,,0,1,no patients identified 2021,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,1,0,0,0,1,,,1,,"No co-infection
",,,1,,"No Cases
",,,,,1,,"No cases
",,,1,,"No Case
",2022-08-26,0,,,,,,,,,0,,,,,,
Democratic People's Republic of Korea,KP,2021,26269,36645,17539,6960,0,0,6184,,80453,87413,13144,93597,26269,13144,0,0,1,221,416,,,2237,,,,5393,9539,13319,14223,7518,2422,52414,0,316,,,1481,,,,3727,5938,8068,7481,3901,1434,30549,0,4450,0,,,,1,,270,0,0,815,0,0,1,815,1,712,1,103,815,1,,0,477,0,270,0,0,,,,,,,,,0,0,,,,,,,,,,1,,0,0,0,0,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,,,,,,
Republic of Korea,KR,2021,11530,2865,4293,1733,542,470,1471,,18688,21433,4216,22904,11314,2320,216,1242,1,220,3,3,14,,,90,240,,782,950,1888,2860,6065,12875,0,2,3,12,,,72,219,,684,702,901,1055,4888,8521,0,37,60,11035,,,0,,603,51,0,603,0,51,1,468,1,603,3,,,1,"2.21
Used drug after pre-examination and conditional approval.(2021.1.1.~12.31.)
(Exclusion condition of use of new drugs before January 1st and use of the same drug for more than 24 weeks.)

2.25-2.26
When a patient whose treatment regimen changed to a shorter MDR-TB regimen,
reporting on a change of a treatment regimen is not mandatory.

2.27
When patients who started treatment for MDR-TB, pre-XDR-TB or XDR-TB had adverse events, reporting on side effects is not mandatory.",9284,1661,279,211,,,9284,1661,318,188,279,211,183,162,490,42,0,0,0,1,41,0,0,0,0,1,,0,,,,,,,,1,"2.43-2.46
According to Privacy protection act, TB & HIV registries cannot be merged",,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,"3.2
According to Privacy Protection Act, TB & HIV registries cannot be merged.",,,,,
Kuwait,KW,2021,401,80,255,,,,,,736,736,,736,401,0,0,306,0,221,0,,,4,,,,22,133,111,101,61,14,442,0,1,,,5,,,,14,109,83,48,18,12,284,0,10,60,656,,,0,,8,1,0,8,0,1,0,,1,8,0,,9,0,,401,,5,,,,395,0,22,0,5,0,5,0,5,1,,,,,,,,,,1,,1,311,2,2,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Cayman Islands,KY,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Kazakhstan,KZ,2021,5127,1502,437,2190,428,73,251,32,7066,9757,2942,10008,5127,2409,0,156,1,220,41,38,67,,,199,284,,940,1401,1329,1085,631,5869,0,33,36,85,,,267,365,,797,659,447,419,634,3588,0,300,60,9630,,,0,,3294,461,782,3403,93,469,1,4123,1,,1,297,,1,,5121,2401,1932,1011,2177,833,5121,2401,2359,1123,1932,1011,1503,762,2931,461,,,,,,,,,,1,,1,9620,625,581,,,,,0,,581,0,,,111,2063,0,,,1705,2063,2569,22315,0,,,878,1403,0,,,2022-08-26,0,,,,,,,,,0,,,,325,1,
Lao People's Democratic Republic,LA,2021,3796,1635,379,191,114,8,77,,5810,6123,390,6200,3796,239,0,38,1,221,3,,,21,,,,266,552,571,726,867,896,3878,0,5,,,21,,,,159,283,309,405,528,511,2195,0,50,60,5849,,,0,"2.6  Foreign-born individuals among total number of TB cases reported in TB-Tracker.

2.11 new and relapse TB cases initially tested by Xpert available in case-based TB tracker system in the country coverage. ",44,0,0,36,0,0,1,19,0,,1,19,19,0,,3796,239,13,31,,,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,,0,5220,301,210,,,,,0,,206,0,,,295,1489,0,,,560,1489,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Lebanon,LB,2021,250,25,191,3,0,2,2,,466,471,7,473,250,3,0,239,1,220,9,9,7,,,13,22,,42,28,24,23,25,177,0,5,5,6,,,13,36,,110,35,24,19,16,253,0,41,60,273,,,0,,2,2,0,2,0,2,1,4,0,,1,2,4,0,,228,3,3,0,,,228,3,5,0,3,0,2,0,3,2,0,0,0,0,1,0,0,0,1,0,,0,342,3,3,,,,,0,,3,0,,,3,166,0,,,2,166,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Saint Lucia,LC,2021,2,2,0,0,0,0,0,,4,4,0,4,2,0,0,0,1,220,0,0,0,,,0,0,,0,0,0,2,1,3,0,0,0,0,,,0,0,,0,0,1,0,0,1,0,0,60,2,,,0,2 cases were diagnosed with the assistance of CT scan results,0,0,0,0,0,0,0,,0,,0,,0,0,There were no documented cases of drug resistant TB in 2021.,2,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,"Please note that samples have to be sent to CARPHA for Isoniazid testing. To the best of my knowledge, no samples were sent in 2021.  There were neither RR nor pre-XDR TB clients in 2021.",1,4,0,0,1,0,0,0,0,There were no documented cases of TB in the 0-14 age category.,0,0,,,0,81,0,,,,,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Sri Lanka,LK,2021,3491,936,1836,223,31,34,220,,6263,6551,508,6771,3483,391,8,14,1,221,18,,,68,,,,281,409,682,886,944,837,4039,,23,,,56,,,,331,308,353,425,481,449,2347,,165,60,1563,,,1,"2.11 - Disaggregated results are not available for new and relapse cases separately. Therefore, Gene X pert positives out of total TB cases was taken here. ",10,0,0,9,0,0,1,9,0,,0,,9,0,"Out of the 10 patients diagnosed in 2021, 9 patients were started on treatment in the same year and for the remaining patient treatment started in 2022.",1214,377,13,6,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,,0,6579,48,23,,,,,0,Disaggregated HIV data of new and relapse TB patients are currently not available in NPTCCD recording and reporting system. Therefore  all TB patients have been considered in filling the above. ,,1,,,29,330,0,,,128,330,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,,,
Liberia,LR,2021,4002,1209,1999,78,22,17,114,,7210,7327,231,7441,3999,150,3,,1,221,374,,,263,,,,647,924,891,657,366,245,3730,0,296,,,213,,,,462,531,565,436,302,182,2478,1,1146,60,1501,,,1,"The NTP has not conducted verification and validation of the data being submitted, therefore the comments generated by the system are noted and will be corrected once the validation process is concluded.",100,0,0,90,1,0,1,,1,1,1,89,,1,Three patients are presumed to have pre-XDR-TB,1486,57,68,21,,,,,,,,,,,,,,,,,,,,,,1,The laboratory capacity for conducting clinical monitoring of patients and conducting TB culture and DST for patients is not functional in the country. The TB culture and DST lab have been under renovation since 2018.,1,6762,775,705,0,,,,1,,705,0,,,609,6313,0,,,1862,6313,3896,21302,0,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,,,
Lesotho,LS,2021,2494,1036,333,379,192,56,63,,3863,4490,690,4553,2494,418,0,,,220,63,32,18,,,48,123,,516,632,539,377,591,2826,0,53,31,34,,,59,105,,334,364,255,111,205,1433,0,231,60,3807,,,1,,110,5,2,110,2,5,1,8,1,28,1,84,117,0,,2279,346,53,21,,,53,22,0,1,53,21,0,0,67,5,,,,,,,,,,1,,1,4352,2397,2207,1,199,45,40,0,,2250,0,,,,,1,,,,,,,0,,,,,0,Record removed by UNAIDS,,2022-08-26,0,,,,,,,,,0,,,,,,
Lithuania,LT,2021,465,33,52,78,0,0,18,0,550,628,96,646,465,96,0,7,1,220,1,2,3,,,4,7,,46,85,134,98,60,434,0,2,1,4,,,2,10,,27,34,32,30,46,181,0,13,60,0,,,,Data extracted from ECDC/TESSy 2022-08-26,84,21,0,25,0,21,1,46,1,,1,,46,1,"{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. 
2.22. Data are preliminary",465,96,73,32,,,465,96,121,39,73,32,68,30,46,21,0,0,14,0,0,3,0,0,4,1,Data extracted from ECDC/TESSy 2022-08-26,1,594,15,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,47746,715,65,0,
Luxembourg,LU,2021,26,2,6,0,0,0,1,0,34,34,1,35,22,1,4,33,1,220,0,0,0,,,2,4,,1,6,3,4,2,22,0,0,0,0,,,0,1,,6,2,1,2,0,12,0,0,60,0,,,,Data extracted from ECDC/TESSy 2022-08-26,0,0,0,0,0,0,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,21,1,0,0,,,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,0,25,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,0,0,0,0,
Latvia,LV,2021,196,21,15,20,3,0,6,0,232,255,29,261,192,26,4,6,1,220,0,2,0,,,1,4,,19,52,54,45,16,191,0,0,2,1,,,0,3,,14,11,10,6,15,59,0,5,60,203,,,,Data extracted from ECDC/TESSy 2022-08-26,16,3,0,8,0,2,,,,,,,,0,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,160,24,14,5,,,158,24,42,9,12,5,12,5,12,3,0,0,0,0,2,1,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Libya,LY,2021,803,293,836,12,0,0,43,,1932,1944,55,1987,803,28,0,339,0,221,8,,,51,,,,422,361,183,127,80,66,1239,0,7,,,43,,,,178,109,103,81,56,57,584,0,109,60,1800,,,0,,8,0,0,7,1,0,1,6,1,1,1,5,1,0,"Total number of RR/MDR-TB Cases at 2021 =7cases + one case diagnosed on 2020 and started treatment on 2021 
  ( note one case on high dose of first line regiment)
",540,22,5,2,,,2,2,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,1,,11,,,,,,1,,8,0,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Morocco,MA,2021,13411,1050,13401,999,58,408,801,,27862,29327,2266,30128,13405,1666,6,,1,221,241,,,767,,,,3554,4504,2909,2009,1792,1597,16365,,240,,,945,,,,2721,2497,1754,1337,1214,1246,10769,,2193,60,10656,,,1,2.6 Le nombre de cas tuberculeux des personnes n'est à l'étranger parmi le nombre total des tuberculeux n'est pas disponible pour l'année 2021.,227,35,34,227,2,35,1,154,1,101,1,34,,1,2.27 La généralisation de la procédure n'est pas encore mise en place par le PNLAT.,8129,1666,114,148,,,118,176,90,151,113,148,85,123,262,35,,,,,,,,,,1,"2.28 ii; tous  les cas ayant eu un traitement antérieur ont fait l objet de tests xpert MTB Rif Ulta
La Bédaquiline ne fait pas partie des molécules actuellement testés dans le cadre du PNLAT. Le dispositif permettant de réaliser ce type de test est en cours d'acquisition",1,11732,183,183,,,,,0,,183,0,,,84,1598,0,,,153,1598,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Monaco,MC,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,0,0,0,0,0,0,0,,0,,0,,0,1,Hazim Timimi (WHO/Geneva) changed 2.21 from no response to 'No' on 2022-06-19 because there have not been any patients with MDR/XDR-TB in recent years. ,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,0,,,1,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,0,0,0,0,
Republic of Moldova,MD,2021,1028,408,180,348,88,15,181,59,1616,2067,632,2248,1028,529,0,20,1,220,10,16,10,,,17,33,,212,439,407,294,130,1532,0,15,21,17,,,17,19,,102,117,83,51,57,446,0,89,60,1912,,,0,,469,124,80,500,19,124,1,520,1,457,1,123,197,0,,991,512,256,203,272,203,916,382,328,223,256,202,254,200,459,124,11,1,0,12,100,0,0,0,0,0,,1,2008,214,169,,,,,0,,169,0,,,85,804,0,,,263,804,263,7267,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,45437,45437,199,0,
Montenegro,ME,2021,55,9,9,6,1,0,3,0,73,80,10,83,55,6,0,2,1,221,0,,,0,,,,3,4,6,11,15,6,45,0,0,,,0,,,,2,8,3,6,9,7,35,0,0,60,68,,,1,,0,0,0,0,0,0,0,,0,,0,,,1,,55,6,0,0,,,49,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,80,0,0,,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,3,1,
Madagascar,MG,2021,26163,4502,7579,1316,200,271,1097,,38244,40031,2884,41128,26163,1972,0,0,1,221,673,,,1023,,,,3948,5148,4833,4103,2879,1786,22697,7,611,,,1193,,,,3968,3722,2882,2122,1442,785,14921,3,3500,60,10181,,,0,,94,0,0,75,0,0,0,,0,,0,,75,0,,4142,975,22,72,,,22,72,0,2,22,72,0,2,64,0,0,0,0,0,0,0,0,0,0,0,,1,22750,473,322,,,,,0,,,0,Record removed by UNAIDS,,105,3110,0,,,70,8995,,,0,,,70,70,0,,"
L'initiation au TPI a commencé en dernier trimestre de l'année 2021 et l'outils mise en place pour la collecte de l'information ne nous permet pas de collecter le début ni la fin de la TPI de même la chronologie par rapport au traitement ARV",2022-08-26,0,,,,,,,,,0,,,,,,
Marshall Islands,MH,2021,31,51,31,1,2,2,1,,113,118,6,119,31,1,0,4,1,221,5,,,12,,,,7,5,4,9,9,3,37,0,12,,,3,,,,16,2,9,12,7,3,49,0,32,60,89,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,31,1,0,0,,,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"there was no mdr, xdr and pre xdr tb detected during 2020",0,114,0,0,,,,,1,there was none among the 2021 patients were tested positive for HIV;,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
North Macedonia,MK,2021,100,14,15,8,3,3,3,3,129,143,17,146,100,11,,3,1,221,1,,,0,,,,10,17,14,24,23,15,103,,0,,,2,,,,4,6,10,5,3,12,40,,3,60,112,,,0,,2,0,0,2,0,0,0,,1,1,0,,2,0,,100,11,1,1,,,100,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,29,0,0,,,,,0,The largest part of the medical care was directed to the Covid 19 pandemic and some other medical activities was reduced.,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,11,1,
Mali,ML,2021,4611,1096,1346,163,62,7,182,,7053,7285,414,7467,4611,232,0,0,,221,36,,,111,,,,603,1044,943,770,648,560,4568,0,52,,,108,,,,429,587,479,341,301,273,2410,0,307,0,,,,0,,55,3,38,0,0,0,1,38,1,0,1,38,38,0,,1234,232,20,35,,,4,19,3,18,4,18,3,17,14,3,0,0,0,3,0,0,0,0,0,0,,1,6284,540,518,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Myanmar,MM,2021,24004,28886,5342,2521,3351,306,715,,58232,64410,6893,65125,24002,3007,2,45,1,221,2019,,,1624,,,,3942,7087,8094,7209,5979,5167,37478,,1402,,,1275,,,,3905,3977,3324,3405,3133,2910,20654,,6320,60,,,,1,,1539,140,2,1360,5,86,1,743,1,545,1,112,820,0,,,,,,,,198,69,66,14,46,7,43,6,858,140,,,,,,,,,,1,,1,55801,3972,2203,,5118,120,58,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,1,,,,,9.2,2020,,,1,,,,,,
Mongolia,MN,2021,1106,335,923,204,60,81,114,,2364,2709,459,2823,1106,297,0,0,1,221,36,,,104,,,,257,350,272,268,188,83,1418,,27,,,125,,,,244,280,178,129,104,64,999,,292,60,1310,,,1,,118,7,6,108,3,6,1,94,1,45,1,67,10,1,,1106,297,84,17,204,17,116,42,46,11,29,4,29,3,11,0,,,,,,,,,,1,,1,2139,2,2,,,,,0,,2,0,,,0,13,0,,,0,13,0,238,0,,,0,0,0,,,2022-08-26,0,,,,,,,,,1,,,,,,
"China, Macao SAR",MO,2021,212,33,55,30,4,4,2,,300,338,40,340,195,32,17,53,1,220,0,0,1,,,1,4,,28,18,17,65,99,232,0,0,0,3,,,2,2,,14,17,14,24,29,102,0,4,60,277,,,1,,5,1,0,0,0,1,0,,0,,0,,1,1,,193,30,3,2,,,191,30,12,5,1,2,0,2,1,1,,,,,,,,,,1,,0,309,4,3,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,,,,,,
Northern Mariana Islands,MP,2021,11,21,1,1,1,0,0,,33,35,2,35,11,1,0,28,1,220,1,0,0,,,0,1,,2,2,5,9,4,23,0,0,0,0,,,0,0,,0,3,4,2,2,11,0,1,60,35,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,11,1,0,0,,,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,35,1,1,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Mauritania,MR,2021,1228,451,697,49,9,4,8,,2376,2438,70,2446,1225,57,3,25,,221,11,,,50,,,,237,363,261,240,217,204,1522,1,8,,,55,,,,175,161,125,138,95,105,799,0,124,60,26,,,0,"Vu le nombre d'appareils gèneXperts limité, nous avons réservé le testXpert aux cas:
-les retraitements
- les PvVIH
- les enfants
- les prisonniers
- les retards à la conversion
- les contasts MDR",24,2,0,24,0,2,1,9,1,2,1,9,9,0,,0,57,0,26,,,,26,,26,,26,,26,2,2,,,,,,,,,,0,"Le test de sensibilité à la bédaquiline et au linézolide n'est pas disponible;
la culture et DST ne sont pas pratiqués  faute de réactifs.
Pour l'instant, seul le test Xpert est fait. les 2 XDR ont été diagnostiqués l'un à Dakar et l'autre en Tunisie",1,940,26,21,,,,,0,,,1,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,,,
Montserrat,MS,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Malta,MT,2021,29,12,13,0,0,0,0,0,54,54,0,54,29,0,0,53,1,220,0,0,0,,,8,12,,15,5,2,1,2,45,0,0,1,0,,,0,0,,5,1,2,0,0,8,0,1,60,0,,,,Data extracted from ECDC/TESSy 2022-08-26,1,0,0,0,0,0,0,,0,,0,,0,0,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. Data taken from ECDC/Tessy,27,0,1,0,,,27,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,1,47,1,1,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,1,I have checked with our Directorate of Health Information and Research. They informed me that the data requested is not available yet
Mauritius,MU,2021,83,0,5,3,0,0,0,,88,91,3,91,83,3,0,15,1,220,2,0,0,,,1,4,,7,12,16,15,7,62,0,1,0,0,,,3,6,,4,1,3,1,8,26,0,3,60,91,,,0,,2,0,0,2,0,0,1,1,0,,1,1,1,0,,83,3,2,0,,,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,91,12,12,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Maldives,MV,2021,48,0,39,0,0,0,0,,87,87,0,87,48,0,0,18,1,222,,,,,2,,,5,15,12,3,4,5,44,0,,,,,1,,,6,8,11,5,7,3,40,0,3,60,46,,,0,,0,0,0,0,0,0,0,,0,,1,0,0,0,,46,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,,,,,0,,2,0,,,0,1,0,,,0,1,0,23,0,,,0,0,0,,,2022-08-26,0,,,,,,,,,0,,,,,,
Malawi,MW,2021,6004,2679,4308,617,403,374,209,,12991,14385,1603,14594,6003,755,1,,1,221,327,,,384,,,,818,1897,2391,1418,799,808,8131,0,288,,,358,,,,738,1136,1295,833,462,433,4897,0,1357,60,4315,,,1,,91,2,12,83,5,2,1,,1,91,0,,97,1,"5 patients were started on second line regimen for Isoniazid mono resistance, We reported them with the number of patients that were clinically diagnosed.  ",3039,480,35,26,,,0,0,0,0,0,0,0,0,14,2,,,,,,,,,,1,,1,14293,6467,6401,0,,,,0,,6401,0,,,1448,77344,0,,,74330,77344,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,,,
